date,GC=F,CL=F,HG=F,NG=F
2010-01-01,1109.2141,80.4926,3.2989,5.5197
2010-02-01,1145.5219,81.5940,3.3366,5.3621
2010-03-01,1166.7553,81.5029,3.3874,5.2795
2010-04-01,1154.5447,82.3022,3.4351,5.1852
2010-05-01,1164.5984,82.2017,3.4773,5.0689
2010-06-01,1208.0920,81.4275,3.5217,4.9486
2010-07-01,1191.4221,81.7304,3.5600,4.8174
2010-08-01,1211.2092,80.9078,3.6007,4.7127
2010-09-01,1218.5092,82.2253,3.6439,4.5766
2010-10-01,1255.5777,81.3335,3.6958,4.4587
2010-11-01,1270.4510,83.2348,3.7385,4.3598
2010-12-01,1301.5103,82.2959,3.7875,4.2180
2011-01-01,1334.9923,82.2798,3.8307,4.0745
2011-02-01,1387.5356,82.1762,3.8777,3.9137
2011-03-01,1409.4915,84.9973,3.9229,3.7567
2011-04-01,1440.1322,86.3261,3.9731,3.5769
2011-05-01,1442.8563,86.8418,4.0162,3.4738
2011-06-01,1485.7125,88.4232,4.0542,3.4030
2011-07-01,1499.3049,86.0957,4.0931,3.3208
2011-08-01,1515.8936,86.8644,4.1363,3.1470
2011-09-01,1540.5599,90.6940,4.1759,3.0438
2011-10-01,1542.1166,91.7258,4.2238,2.9614
2011-11-01,1570.5482,92.6610,4.2673,2.8227
2011-12-01,1610.0602,94.3166,4.3250,2.7008
2012-01-01,1639.4542,96.4933,4.3621,2.5155
2012-02-01,1640.6207,95.1638,4.3020,2.5652
2012-03-01,1663.7636,94.3069,4.2353,2.5750
2012-04-01,1699.8940,96.2890,4.1717,2.6226
2012-05-01,1696.7242,96.8834,4.1113,2.6174
2012-06-01,1705.6027,100.5181,4.0385,2.6754
2012-07-01,1743.7508,101.7120,3.9786,2.7478
2012-08-01,1772.8023,98.1435,3.9270,2.7660
2012-09-01,1803.9818,95.5749,3.8636,2.7735
2012-10-01,1816.4896,90.7837,3.8038,2.7505
2012-11-01,1808.1333,89.7658,3.7478,2.7842
2012-12-01,1802.6170,88.8166,3.6859,2.8084
2013-01-01,1827.8936,87.5132,3.6219,2.8035
2013-02-01,1809.3019,88.4649,3.5494,2.8588
2013-03-01,1781.9491,89.5960,3.4915,2.8870
2013-04-01,1772.9814,88.6737,3.4298,2.8964
2013-05-01,1764.1816,84.8050,3.3636,2.9214
2013-06-01,1740.8963,85.0643,3.3032,2.9952
2013-07-01,1710.0257,85.2307,3.2391,3.0549
2013-08-01,1729.2888,85.0281,3.1754,3.0927
2013-09-01,1718.8068,85.8336,3.1173,3.1530
2013-10-01,1692.4379,83.4197,3.0495,3.1598
2013-11-01,1679.5102,84.4329,2.9936,3.2024
2013-12-01,1651.2064,80.9937,2.9255,3.2485
2014-01-01,1620.7465,80.1175,2.8611,3.2761
2014-02-01,1602.5139,75.5865,2.8096,3.3308
2014-03-01,1556.4690,72.1911,2.7541,3.3491
2014-04-01,1535.0917,72.4657,2.6935,3.4060
2014-05-01,1537.1194,70.0743,2.6277,3.4643
2014-06-01,1517.4454,69.3342,2.5639,3.4184
2014-07-01,1485.1355,67.6897,2.5032,3.4958
2014-08-01,1450.8623,65.5322,2.4423,3.4460
2014-09-01,1418.0405,65.5780,2.3807,3.4692
2014-10-01,1387.5644,63.2230,2.3194,3.5416
2014-11-01,1355.2307,58.5519,2.2573,3.5738
2014-12-01,1342.3087,55.3470,2.1889,3.5715
2015-01-01,1289.6439,54.1738,2.1252,3.5803
2015-02-01,1294.5739,53.1004,2.1548,3.5445
2015-03-01,1280.8786,49.0832,2.1730,3.4201
2015-04-01,1278.5328,46.3300,2.1970,3.3873
2015-05-01,1253.6280,43.7907,2.2179,3.3190
2015-06-01,1265.5574,41.5759,2.2435,3.2166
2015-07-01,1276.2419,37.8453,2.2665,3.1324
2015-08-01,1282.6358,35.2361,2.2989,3.0352
2015-09-01,1251.9145,32.4765,2.3265,2.9946
2015-10-01,1256.3513,31.9672,2.3449,2.9499
2015-11-01,1254.4241,31.5142,2.3733,2.8316
2015-12-01,1222.3451,29.6288,2.3944,2.7529
2016-01-01,1213.9806,27.3741,2.4165,2.6603
2016-02-01,1211.4486,25.9173,2.4431,2.6324
2016-03-01,1211.7897,23.0258,2.4656,2.5253
2016-04-01,1206.4487,19.6388,2.4951,2.5067
2016-05-01,1215.5790,18.4666,2.5162,2.5057
2016-06-01,1242.4451,17.7525,2.5381,2.4709
2016-07-01,1265.5975,16.2454,2.5598,2.4505
2016-08-01,1227.3536,16.7265,2.5820,2.4265
2016-09-01,1227.3539,18.0592,2.6125,2.3883
2016-10-01,1229.6461,15.9167,2.6406,2.3911
2016-11-01,1208.1265,16.1924,2.6742,2.3543
2016-12-01,1214.3012,16.1006,2.7105,2.2889
2017-01-01,1237.7944,16.8510,2.7304,2.2775
2017-02-01,1226.2578,17.0697,2.7557,2.2234
2017-03-01,1236.0657,15.1274,2.7748,2.2008
2017-04-01,1227.0903,13.4719,2.7960,2.1735
2017-05-01,1221.7735,13.7541,2.8178,2.1474
2017-06-01,1248.6963,15.5354,2.8375,2.2074
2017-07-01,1245.3199,12.4522,2.8573,2.2091
2017-08-01,1257.0149,13.2089,2.8815,2.2165
2017-09-01,1233.7086,15.2314,2.9005,2.1632
2017-10-01,1266.4052,15.2400,2.9297,2.1436
2017-11-01,1280.2069,16.3034,2.9501,2.1500
2017-12-01,1282.2313,15.4869,2.9891,2.1193
2018-01-01,1295.6264,15.5459,3.0119,2.1465
2018-02-01,1269.4792,14.7812,2.9893,2.0688
2018-03-01,1282.2171,12.9314,2.9599,2.0185
2018-04-01,1272.3573,16.0122,2.9455,1.9593
2018-05-01,1264.2963,16.2013,2.9282,1.9226
2018-06-01,1251.9215,17.1847,2.9068,1.8617
2018-07-01,1238.2117,16.7717,2.8771,1.8119
2018-08-01,1243.6318,16.3234,2.8553,1.7631
2018-09-01,1242.4704,17.7294,2.8267,1.6994
2018-10-01,1247.2466,18.3017,2.8111,1.6723
2018-11-01,1242.1147,20.5353,2.7923,1.6378
2018-12-01,1244.8127,22.8807,2.7698,1.5935
2019-01-01,1233.5299,25.0287,2.7347,1.5389
2019-02-01,1291.9759,24.5533,2.7069,1.5378
2019-03-01,1293.4569,26.0866,2.6874,1.5057
2019-04-01,1337.3710,23.6519,2.6706,1.4715
2019-05-01,1382.8896,22.7361,2.6532,1.4497
2019-06-01,1395.1072,23.6018,2.6223,1.4756
2019-07-01,1453.5463,24.6653,2.6009,1.4103
2019-08-01,1493.4787,21.6993,2.5831,1.4084
2019-09-01,1533.0458,20.3974,2.5519,1.3266
2019-10-01,1558.4661,21.6013,2.5289,1.3082
