date,EUR_USD,JPY_USD,GBP_USD,AUD_USD,US_SLOPE,GC=F,CL=F,HG=F
2010-01-01,0.004010,0.007869,0.009931,-0.010724,0.005020,0.012426,0.017933,-0.007960
2010-02-01,-0.012349,-0.002351,0.003163,0.002987,0.013200,-0.021462,-0.077282,0.045748
2010-03-01,-0.014430,-0.007975,-0.006279,-0.008995,-0.008893,-0.005670,0.055092,0.035451
2010-04-01,-0.006804,-0.005903,-0.008012,0.021388,-0.001642,0.005143,-0.042897,0.029859
2010-05-01,0.012076,0.007164,0.008932,0.001761,-0.008636,0.034144,0.066722,-0.001462
2010-06-01,-0.005450,-0.011835,0.002015,0.015100,-0.010873,-0.033531,-0.064864,0.057330
2010-07-01,0.001938,-0.010514,0.005462,-0.000930,-0.010718,-0.019642,-0.001024,0.007598
2010-08-01,0.016636,0.010923,0.005772,0.010509,-0.008972,-0.102532,0.029518,0.032375
2010-09-01,0.019449,-0.001590,0.006210,-0.009976,0.015403,-0.018768,0.009952,0.026000
2010-10-01,-0.000615,-0.001658,-0.003995,-0.004407,0.007796,-0.026540,0.020711,0.006336
2010-11-01,-0.001136,-0.017805,-0.005976,-0.000792,0.006605,-0.053619,-0.043327,-0.045849
2010-12-01,0.011459,-0.009826,0.002203,0.017929,-0.001809,0.007006,-0.042305,0.032770
2011-01-01,-0.008215,-0.002133,0.003349,0.004448,0.008205,0.000650,0.130159,0.130074
2011-02-01,0.005342,0.001602,-0.011510,0.013830,-0.024825,-0.096097,0.076177,-0.018229
2011-03-01,-0.009887,-0.011215,-0.012476,0.002447,0.001019,-0.012489,-0.084618,-0.015494
2011-04-01,0.006203,0.014435,0.002969,0.023185,0.003790,-0.038830,0.032546,-0.023016
2011-05-01,0.001611,-0.003871,0.012104,0.002551,0.007473,0.017311,-0.056807,-0.022505
2011-06-01,-0.001218,-0.002440,-0.010865,0.033523,0.007679,-0.039136,-0.076138,0.078373
2011-07-01,-0.006999,0.006630,-0.000494,-0.005807,-0.015027,-0.009815,0.059900,-0.035824
2011-08-01,0.003594,0.001132,-0.008720,-0.008389,-0.019812,-0.012679,-0.132346,-0.023869
2011-09-01,0.012740,-0.000766,-0.002171,-0.009200,-0.006072,0.018961,0.079150,-0.062796
2011-10-01,-0.001144,-0.004160,-0.005136,0.022503,-0.000012,-0.013293,-0.054030,-0.058053
2011-11-01,0.005477,0.010841,-0.004456,0.015968,0.011300,-0.001121,-0.001469,-0.067650
2011-12-01,0.004707,0.008346,-0.007108,-0.004940,-0.019473,-0.070195,0.012655,0.013362
2012-01-01,-0.003969,-0.005295,-0.000815,0.015878,-0.013211,-0.059569,0.050680,0.126276
2012-02-01,0.004331,-0.003582,-0.005240,0.007487,-0.012334,-0.027265,-0.061667,-0.011010
2012-03-01,0.005220,-0.003357,-0.009892,0.022342,-0.007433,0.002242,0.065781,-0.069025
2012-04-01,0.020827,-0.007637,0.009185,-0.015737,-0.016084,-0.019947,0.020363,0.040561
2012-05-01,-0.002173,-0.004621,0.005500,-0.009302,-0.023599,0.004623,-0.135337,-0.051283
2012-06-01,-0.004721,-0.004890,0.005213,-0.010930,-0.016301,-0.020077,-0.035725,0.044575
2012-07-01,0.007569,0.006106,-0.007060,-0.024336,0.000054,-0.037802,0.108612,-0.009045
