date,EUR_USD,JPY_USD,GBP_USD,AUD_USD,US_SLOPE,GC=F,CL=F,HG=F
2010-04-01,-0.006804,-0.005903,-0.008012,0.021388,-0.001642,0.005143,-0.042897,0.029859
2010-05-01,0.012076,0.007164,0.008932,0.001761,-0.008636,0.034144,0.066722,-0.001462
2010-06-01,-0.00545,-0.011835,0.002015,0.0151,-0.010873,-0.033531,-0.064864,0.05733
2010-07-01,0.001938,-0.010514,0.005462,-0.00093,-0.010718,-0.019642,-0.001024,0.007598
2010-09-01,0.019449,-0.00159,0.00621,-0.009976,0.015403,-0.018768,0.009952,0.026
2010-10-01,-0.000615,-0.001658,-0.003995,-0.004407,0.007796,-0.02654,0.020711,0.006336
2010-11-01,-0.001136,-0.017805,-0.005976,-0.000792,0.006605,-0.053619,-0.043327,-0.045849
2010-12-01,0.011459,-0.009826,0.002203,0.017929,-0.001809,0.007006,-0.042305,0.03277
2011-01-01,-0.008215,-0.002133,0.003349,0.004448,0.008205,0.00065,0.130159,0.130074
2011-02-01,0.005342,0.001602,-0.01151,0.01383,-0.024825,-0.096097,0.076177,-0.018229
2011-03-01,-0.009887,-0.011215,-0.012476,0.002447,0.001019,-0.012489,-0.084618,-0.015494
2011-04-01,0.006203,0.014435,0.002969,0.023185,0.00379,-0.03883,0.032546,-0.023016
2011-06-01,-0.001218,-0.00244,-0.010865,0.033523,0.007679,-0.039136,-0.076138,0.078373
2011-07-01,-0.006999,0.00663,-0.000494,-0.005807,-0.015027,-0.009815,0.0599,-0.035824
2011-08-01,0.003594,0.001132,-0.00872,-0.008389,-0.019812,-0.012679,-0.132346,-0.023869
2011-09-01,0.01274,-0.000766,-0.002171,-0.0092,-0.006072,0.018961,0.07915,-0.062796
2011-10-01,-0.001144,-0.00416,-0.005136,0.022503,-1.2e-05,-0.013293,-0.05403,-0.058053
2011-11-01,0.005477,0.010841,-0.004456,0.015968,0.0113,-0.001121,-0.001469,-0.06765
2011-12-01,0.004707,0.008346,-0.007108,-0.00494,-0.019473,-0.070195,0.012655,0.013362
2012-02-01,0.004331,-0.003582,-0.00524,0.007487,-0.012334,-0.027265,-0.061667,-0.01101
2012-03-01,0.00522,-0.003357,-0.009892,0.022342,-0.007433,0.002242,0.065781,-0.069025
2012-05-01,-0.002173,-0.004621,0.0055,-0.009302,-0.023599,0.004623,-0.135337,-0.051283
2012-06-01,-0.004721,-0.00489,0.005213,-0.01093,-0.016301,-0.020077,-0.035725,0.044575
2012-08-01,0.008253,0.008535,0.005181,0.00993,-0.014631,-0.01422,0.133858,-0.029935
2012-09-01,-0.005992,-0.005866,0.003268,-0.008334,-0.006655,0.006787,0.065389,-0.010219
2012-10-01,-0.002812,-0.002395,-0.005011,0.006346,0.01135,0.017191,-0.0796,0.037808
2012-11-01,0.006182,0.005353,0.004444,0.028492,-0.01269,0.080322,0.045188,-0.001683
2012-12-01,-0.004403,-0.004014,0.002314,-0.004541,-0.003162,-0.022985,0.066454,-0.022985
2013-01-01,-0.008319,-0.002533,0.009821,-0.014364,0.004314,-0.021569,0.027896,-0.029302
2013-02-01,-0.000668,-0.001066,0.015914,-0.00197,-0.005781,0.012359,0.056015,-0.061261
2013-03-01,0.008888,-0.003908,-0.005222,0.01321,-0.003918,0.005485,0.04039,0.020643
2013-04-01,-0.005189,-0.008282,0.019447,-0.008638,0.012357,-0.026205,-0.019239,-0.085695
2013-05-01,-0.01411,0.009134,-0.002502,-0.008439,-0.002119,-0.057207,-0.038776,-0.018414
2013-06-01,-0.016151,-0.000719,0.008726,0.01129,0.013373,-0.016737,-0.137295,0.039614
2013-07-01,-0.013987,0.010131,0.007945,0.002127,0.004517,-0.043413,0.020277,0.014974
2013-08-01,-0.016208,-0.006579,-0.00762,-0.031853,-0.010167,-0.093227,-0.0323,0.000325
2013-10-01,-0.00756,0.020766,0.004852,0.021091,0.009359,-0.026717,-0.072047,0.069367
2013-11-01,-0.008747,-0.007852,0.004538,0.003179,0.011274,0.017488,0.038528,0.039637
2014-01-01,-0.004566,0.009144,0.010709,-0.000966,0.002667,-0.024789,0.0328,0.052529
2014-02-01,0.007928,-0.00402,0.003102,0.000528,0.001132,-0.009448,-0.001097,0.037717
2014-03-01,0.005666,0.002488,0.002181,0.011803,0.01225,-0.062371,0.043935,-0.005456
2014-04-01,-0.003774,-0.006952,0.005429,-0.018177,-0.013704,-0.022208,0.163999,-0.058965
2014-05-01,-0.009513,-0.001304,-0.000511,-0.015446,0.00796,0.013855,-0.06904,0.015373
2014-07-01,0.001225,0.000806,-0.004679,-8.2e-05,-0.012487,-0.019768,-0.049805,0.056564
2014-08-01,0.000692,0.003315,-0.010405,0.006538,0.015419,0.05434,-0.013042,-0.022073
2014-09-01,-0.009105,-0.007962,-0.007181,-0.015044,0.02716,-0.050631,0.009284,-0.034043
2014-10-01,-0.003159,-0.007137,-0.007567,-5.1e-05,0.011449,-0.062219,0.082639,0.006205
2014-11-01,-0.016009,-0.002648,0.002812,0.011883,0.017609,0.027604,0.151776,0.000521
2014-12-01,-0.0014,-0.010596,0.004863,0.00644,0.003627,0.074777,0.059751,-0.074074
2015-01-01,0.008183,0.002846,0.002088,0.006989,-0.012746,0.036061,-0.003926,0.027022
2015-04-01,-0.006136,-0.002263,0.002086,-0.000112,-0.004342,-0.07528,-0.029791,0.066582
2015-05-01,0.003422,0.002322,-0.002632,0.020511,-0.004143,0.022825,-0.098519,0.107879
2015-06-01,-0.002188,-0.006264,0.009216,-0.002364,-0.002341,-0.017701,0.093696,-0.053764
2015-07-01,-0.00127,0.004564,0.000131,-0.010986,0.007713,-0.046097,0.074648,-0.019591
