date,long_legs,short_legs,gross_return,tc_cost,net_return
2010-06-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['CL=F', 'HG=F', 'GC=F']",-0.0027208544363897104,0.0005,-0.0032208544363897104
2010-07-01,"['AUD_USD', 'US_SLOPE', 'CL=F']","['GC=F', 'JPY_USD', 'HG=F']",0.0005873343361300506,0.0003327061947288037,0.00025462814140124685
2010-09-01,"['AUD_USD', 'US_SLOPE', 'HG=F']","['GC=F', 'JPY_USD', 'GBP_USD']",0.004914455234258839,0.00022992527962128827,0.00468452995463755
2010-10-01,"['AUD_USD', 'US_SLOPE', 'GC=F']","['CL=F', 'JPY_USD', 'GBP_USD']",-0.0008650858355321593,0.00015588378295588318,-0.0010209696184880425
2010-11-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['HG=F', 'CL=F', 'JPY_USD']",0.014063484187318039,0.00025860370256065905,0.01380488048475738
2010-12-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['GC=F', 'HG=F', 'JPY_USD']",0.004775308730408271,0.0001096647369263385,0.004665643993481933
2011-01-01,"['AUD_USD', 'US_SLOPE', 'HG=F']","['JPY_USD', 'GC=F', 'GBP_USD']",0.011121799477163444,0.0002876722348423473,0.010834127242321096
2011-02-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['GC=F', 'HG=F', 'CL=F']",0.021384096694685262,0.0003452716202274422,0.02103882507445782
2011-03-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['HG=F', 'JPY_USD', 'CL=F']",0.007680845753812837,0.000301989426526173,0.007378856327286664
2011-04-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['HG=F', 'JPY_USD', 'GC=F']",0.004197385121396306,5.936014267332872e-05,0.004138024978722977
2011-06-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['HG=F', 'CL=F', 'JPY_USD']",0.006213862347967173,4.9766276770000463e-05,0.006164096071197172
2011-07-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['CL=F', 'GC=F', 'JPY_USD']",-0.008378256933449147,7.851908382437471e-05,-0.008456776017273522
2011-08-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['JPY_USD', 'GBP_USD', 'HG=F']",-4.2972334729396607e-05,0.00025994719349663295,-0.00030291952822602956
2011-09-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['HG=F', 'JPY_USD', 'CL=F']",0.0038293624489319452,0.00014067945168007255,0.0036886829972518726
2011-10-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['HG=F', 'GC=F', 'CL=F']",0.01761680188300883,0.00023525766648125628,0.017381544216527576
2011-11-01,"['AUD_USD', 'HG=F', 'CL=F']","['JPY_USD', 'GBP_USD', 'GC=F']",-0.003846143450524502,0.0005350230434901642,-0.0043811664940146666
2011-12-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['JPY_USD', 'GBP_USD', 'GC=F']",0.002189259568679071,0.00032355689008544184,0.0018657026785936293
2012-02-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['GC=F', 'CL=F', 'HG=F']",0.01340356172490807,0.0002450793730840729,0.013158482351823998
2012-03-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['JPY_USD', 'CL=F', 'GBP_USD']",0.006166004458343605,0.00032557523989986407,0.005840429218443742
2012-05-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['CL=F', 'HG=F', 'GC=F']",0.018980338733663175,0.0002558894572653497,0.018724449276397825
2012-06-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['CL=F', 'HG=F', 'GC=F']",-0.004512644437432225,6.150128572263057e-05,-0.004574145723154855
2012-08-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['JPY_USD', 'GC=F', 'GBP_USD']",-0.0004139511126612591,0.000338347729900955,-0.0007522988425622141
2012-09-01,"['AUD_USD', 'CL=F', 'US_SLOPE']","['JPY_USD', 'HG=F', 'GC=F']",-6.033965561199868e-05,0.00026636357642189913,-0.0003267032320338978
2012-10-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['CL=F', 'JPY_USD', 'GC=F']",0.002329006589614396,0.00023678942165521565,0.0020922171679591804
2012-11-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['CL=F', 'HG=F', 'GC=F']",-0.026702554460020123,0.0002471495287531384,-0.02694970398877326
2012-12-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['GC=F', 'JPY_USD', 'HG=F']",0.0023109399126618147,0.00036184830113413803,0.0019490916115276766
2013-01-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['JPY_USD', 'GC=F', 'HG=F']",0.0013540740450372194,2.802248808128841e-05,0.001326051556955931
2013-02-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['JPY_USD', 'GC=F', 'HG=F']",0.0034322528678398054,2.2077584560096938e-05,0.0034101752832797084
2013-03-01,"['AUD_USD', 'US_SLOPE', 'EUR_USD']","['CL=F', 'HG=F', 'GC=F']",-0.00714022778441775,0.00020631726555391252,-0.0073465450499716626
2013-04-01,"['AUD_USD', 'US_SLOPE', 'GBP_USD']","['HG=F', 'JPY_USD', 'GC=F']",0.013300110639905868,0.0004902164845590815,0.012809894155346786
2013-05-01,"['AUD_USD', 'US_SLOPE', 'GBP_USD']","['GC=F', 'CL=F', 'HG=F']",0.01714363911085438,0.00021613921116288079,0.0169274998996915
2013-06-01,"['AUD_USD', 'US_SLOPE', 'GBP_USD']","['CL=F', 'GC=F', 'JPY_USD']",0.014352512351056983,0.00033549920901920104,0.014017013142037783
2013-07-01,"['AUD_USD', 'US_SLOPE', 'GBP_USD']","['GC=F', 'HG=F', 'JPY_USD']",0.0017890123030301968,4.781642577698234e-05,0.0017411958772532146
2013-08-01,"['AUD_USD', 'US_SLOPE', 'GBP_USD']","['JPY_USD', 'HG=F', 'CL=F']",-0.004236207004607712,6.202974879501364e-05,-0.004298236753402726
2013-10-01,"['AUD_USD', 'US_SLOPE', 'GBP_USD']","['CL=F', 'JPY_USD', 'HG=F']",-0.003979035588883429,6.421741130115589e-05,-0.004043253000184584
